#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1605127937172.png,163056,"{}",4,0,"{""name"":""point"",""cx"":168,""cy"":112}","{}"
1605127937172.png,163056,"{}",4,1,"{""name"":""point"",""cx"":232,""cy"":84}","{}"
1605127937172.png,163056,"{}",4,2,"{""name"":""point"",""cx"":297,""cy"":82}","{}"
1605127937172.png,163056,"{}",4,3,"{""name"":""point"",""cx"":367,""cy"":110}","{}"
1611587912338.bmp,162554,"{}",4,0,"{""name"":""point"",""cx"":125,""cy"":207}","{}"
1611587912338.bmp,162554,"{}",4,1,"{""name"":""point"",""cx"":179,""cy"":193}","{}"
1611587912338.bmp,162554,"{}",4,2,"{""name"":""point"",""cx"":293,""cy"":192}","{}"
1611587912338.bmp,162554,"{}",4,3,"{""name"":""point"",""cx"":354,""cy"":200}","{}"
16018345583517.bmp,129636,"{}",4,0,"{""name"":""point"",""cx"":148,""cy"":99}","{}"
16018345583517.bmp,129636,"{}",4,1,"{""name"":""point"",""cx"":230,""cy"":73}","{}"
16018345583517.bmp,129636,"{}",4,2,"{""name"":""point"",""cx"":291,""cy"":64}","{}"
16018345583517.bmp,129636,"{}",4,3,"{""name"":""point"",""cx"":380,""cy"":66}","{}"
16018361481836.bmp,94656,"{}",4,0,"{""name"":""point"",""cx"":150,""cy"":82}","{}"
16018361481836.bmp,94656,"{}",4,1,"{""name"":""point"",""cx"":207,""cy"":60}","{}"
16018361481836.bmp,94656,"{}",4,2,"{""name"":""point"",""cx"":290,""cy"":52}","{}"
16018361481836.bmp,94656,"{}",4,3,"{""name"":""point"",""cx"":367,""cy"":77}","{}"
16018963171303.bmp,93504,"{}",4,0,"{""name"":""point"",""cx"":203,""cy"":96}","{}"
16018963171303.bmp,93504,"{}",4,1,"{""name"":""point"",""cx"":275,""cy"":91}","{}"
16018963171303.bmp,93504,"{}",4,2,"{""name"":""point"",""cx"":327,""cy"":102}","{}"
16018963171303.bmp,93504,"{}",4,3,"{""name"":""point"",""cx"":387,""cy"":143}","{}"
16046930113991.bmp,130728,"{}",4,0,"{""name"":""point"",""cx"":125,""cy"":164}","{}"
16046930113991.bmp,130728,"{}",4,1,"{""name"":""point"",""cx"":211,""cy"":128}","{}"
16046930113991.bmp,130728,"{}",4,2,"{""name"":""point"",""cx"":291,""cy"":132}","{}"
16046930113991.bmp,130728,"{}",4,3,"{""name"":""point"",""cx"":384,""cy"":176}","{}"
16046930157677.bmp,162991,"{}",4,0,"{""name"":""point"",""cx"":114,""cy"":144}","{}"
16046930157677.bmp,162991,"{}",4,1,"{""name"":""point"",""cx"":183,""cy"":121}","{}"
16046930157677.bmp,162991,"{}",4,2,"{""name"":""point"",""cx"":318,""cy"":121}","{}"
16046930157677.bmp,162991,"{}",4,3,"{""name"":""point"",""cx"":404,""cy"":157}","{}"
16051279377311.png,187168,"{}",4,0,"{""name"":""point"",""cx"":120,""cy"":142}","{}"
16051279377311.png,187168,"{}",4,1,"{""name"":""point"",""cx"":205,""cy"":128}","{}"
16051279377311.png,187168,"{}",4,2,"{""name"":""point"",""cx"":303,""cy"":133}","{}"
16051279377311.png,187168,"{}",4,3,"{""name"":""point"",""cx"":374,""cy"":152}","{}"
16051279394889.png,149889,"{}",4,0,"{""name"":""point"",""cx"":201,""cy"":102}","{}"
16051279394889.png,149889,"{}",4,1,"{""name"":""point"",""cx"":271,""cy"":103}","{}"
16051279394889.png,149889,"{}",4,2,"{""name"":""point"",""cx"":333,""cy"":111}","{}"
